ENTREPRISE;PROJET;THEMATIQUE;PAGE;VAGUE;LOCALISATION;MONTANT_PROJET;MONTANT_AIDE;REALISATION;ACTIVITE_ENTREPRISE;OBJECTIF_PROJET
ab tasty;personnalisation;numérique;57;1;PARIS (75); 3 590 054;; 2018 - 2020;"AB Tasty est le leader français et européen du marché de l’A/B Testing. 
L’A/B Testing consiste à tester plusieurs variantes d’un site internet, chaque 
version étant présentée à une partie des internautes tandis que les données 
de navigation des différents panels sont analysées pour mesurer l’impact de 
chaque version.";"L’objectif du projet est de faire progresser le marché mondial du CRO vers la 
première solution de personnalisation web et mobile, temps réel, totalement 
automatisée. Le recours aux techniques d’Intelligence Artificielle seront 
dans ce cadre nécessaire pour : (1) comprendre le rapport des utilisateurs 
au contenu et (2) personnaliser leurs expériences en temps réel, de manière 
totalement automatisée, au niveau de tous les éléments à disposition : 
contenus, images, structures des sites. "
ab7 industries;terrabios;agriculture innovante;38;1;HAUTE-GARONNE (31); 626 806 €; 197 565 €; 2018 - 2020;"AB7 Industries fabrique et commercialise des produits d’entretien de la 
maison, du jardin et des piscines, des produits cosmétiques et répulsifs 
ainsi que des produits vétérinaires. La technologie d’AB7 Industries repose 
sur l’incorporation d’actif dans des matrices polymères pour permettre une 
diffusion contrôlée de l’actif dans le temps.";"Les objectifs du projet Terrabios portent sur la formulation innovante de 
biostimulants microbiens et sur leur procédé de production.
AB7 Industries propose un concept innovant de formulation en associant un
support biodégradable fonctionnel et des microorganismes bénéfiques pour
les plantes. Cette formulation permettra aux microorganismes de résister 
aux conditions de stockage ainsi qu’aux conditions hostiles existant lors de 
l’introduction auprès des racines des plantes (températures, pH, compétitions
face aux autres microorganismes, …). Le taux de survie sera nettement 
amélioré.
C’est une innovation majeure qui va permettre une meilleure efficacité des 
produits de biostimulation et/ou de biocontrôle."
accenta;accenta.ai;énergies renouvelables, stockage et systèmes énergétiques;7;1;ESSONNE (91); 790 331 €; 355 649 €; 2018 - 2021;"ACCENTA développe un système énergétique comprenant une solution de 
stockage des énergies thermiques du bâtiment et un système de pilotage 
intelligent et auto-apprenant, qui permet d’atteindre des niveaux de 
performance inégalés tant en efficacité énergétique qu’en décarbonation, à 
un coût compétitif par rapport aux énergies traditionnelles.";"ACCENTA développe une solution de stockage des énergies thermiques 
renouvelables pour améliorer l’efficacité énergétique et environnementale 
des chaufferies bas carbone. Les nouvelles techniques de l’Intelligence 
Artificielle (IA) et notamment de l’apprentissage automatique permettront 
une amélioration significative des performances thermodynamiques.
Ainsi le Projet concerne le développement d’algorithmes d’IA et d’optimisation 
qui s’intégreront dans la suite logicielle éditée par ACCENTA qui assure la 
performance et la pérennité des systèmes énergétiques de chauffage et de 
climatisation des bâtiments bas carbone."
aenitis technologies;ali-s;santé;80;1;"PRINCIPALE : PARIS (75) ET SEINE 
ET MARNE (77), SOUS-TRAITANCE ET 
COLLABORATIONS : MAINE-ET-LOIRE 
(49), JURA (39), NORD (59)"; 2 451 391 €;; 2018 - 2021;"Aenitis Technologies développe des solutions innovantes de manipulation et 
de filtration de cellules basées sur les technologies d’acoustophorèse.
La Société se concentre sur le développement de solutions technologiques 
qui vont permettre de révolutionner les pratiques actuelles des procédés 
de préparation en thérapie cellulaire relevant d’enjeux de santé publique 
majeurs.";"Le pancréas est un organe vital majeur dont tout dysfonctionnement 
engendre de lourds traitements médicaux. La greffe de pancréas étant 
une solution aux risques de létalité élevés (45% de rejets de greffe), des 
recherches en thérapies cellulaires ont permis des allogreffes et des 
autogreffes d’îlots de Langerhans pour pallier les dérèglements insulaires. 
Ces thérapies peu risquées sont reconnues pour leur efficacité et agréées 
dans de nombreux pays. Hélas, elles souffrent de méthodes de tri et de 
purification contraignantes et dont les rendements sont bas. 
Le projet ALI-S révolutionne ce paradigme afin de rendre plus simples et 
plus efficaces ces bioprocédés."
airweb;ticket_universel;transport et mobilité durable;24;1;"HAUTS-DE-SEINE 
(92)"; 671 932 €; 302 369 €; 2018 - 2019;"AIRWEB est un éditeur de solutions logicielles à destination des 
exploitants de réseaux de transports publics. Les solutions comprennent 
les fonctionnalités d’informations voyageur, de calcul d’itinéraire, et de 
billettique dématérialisée.";"Le projet vise à développer les briques technologiques nécessaires pour 
établir un service de Titres de transport Universel.
En premier lieu, il s’agira de développer une solution AIRWEB (application 
et surtout back-office) proposant toutes les offres des réseaux partenaires, 
basée sur le socle M-TICKET_ROUTE, développé avec le soutien du 
Programme des Investissements d’Avenir en 2016.
En second lieu, il s’agira de développer un service de billettique dématérialisée 
universelle à destination de tout usager désirant emprunter un réseau de 
transport public. Le paiement se faisant à la consommation en fonction des 
réseaux empruntés durant son trajet."
alphee developpement;smart20;transport et mobilité durable;25;1;SAVIGNY (69); 750 624 €; 300 348 €; 2018 - 2019;"Créée en 1995, ALPHEE DEVELOPPEMENT, société d’ingénierie, se 
positionne dans les domaines de l’électronique de puissance et de la 
conversion d’énergie appliqués au transport et à l’industrie. Avec plus de 
10 000 chargeurs en service dans les véhicules électriques (VE), ALPHEE 
est est une référence dans la conception et la fourniture d’alimentations et 
de chargeurs embarqués dans le monde de l’électromobilité.";"Fort de son expérience, de son savoir-faire électronique et technologique, 
et de la tendance lourde de l’électrification des véhicules urbains, ALPHEE 
DEVELOPPEMENT souhaite développer et commercialiser la brique de 
puissance SMART20 qui sera unique et compétitive sur le marché du VE en 
France et en Europe. Ce module de forte puissance 20kW pourra adresser une 
multitude d’applications de chargeurs de batterie embarqués (auto, utilitaires, 
poids lourd, bus, véhicules spéciaux de puissance 7kW monophasé/20kW 
triphasé) et stationnaires (stations de charges DC optimisées de puissance 
20/40/60/80/100kW) sur une large plage de tension batterie (85V à 850V) 
couvrant quasiment 100% des solutions batteries des VE actuels et à venir."
alsid;ngcyss;sécurité et cybersécurité;88;1;PARIS (75); 1 049 693 €;; 2018 - 2020;"La société ALSID développe une solution novatrice totalement différenciante 
sur le marché de l’Active Directory visant à protéger les architectures 
d’annuaire.
La solution s’adresse à une population de décideurs : la complexité technique 
des systèmes sous-jacents est abstraite et synthétisée sous forme de 
tableaux de bord et de scores clairs.";"Le projet DSC porté par la société ALSID vise à accompagner les entreprises 
à protéger les architectures d’annuaire, domaine encore peu mature en 
termes de connaissance et d’outillage, et largement préempté à ce jour par 
Microsoft. 
Les architectures Active Directory, bien que déployées à grande échelle dans 
la majorité des entreprises, sont très peu connues, car mettent en jeu des 
processus d’ingénierie complexes. 
L’approche fondamentale d’ALSID est de mettre à disposition des 
responsables des technologies très pointues de sécurité, d’utilisation rendue 
triviale, afin de permettre une diffusion généralisée de la protection proactive 
des infrastructures Active Directory. "
alyce;observer;transport et mobilité durable;26;1;"RHÔNE-ALPES (69), 
HAUT-DE -SEINE (92)"; 798 360 €; 336 852 €; 2018 - 2019;"Fondée à Lyon en janvier 2000, ALYCE, spécialiste du recueil de données 
routières, réalise plus de 500 missions par an, en particulier des comptages, 
des mesures, et des enquêtes Origine Destination de tout type. Ces données 
servent de base de travail à la réalisation d’études, principalement dans 
les domaines de la circulation, des transports et de l’aménagement des 
infrastructures.";"ALYCE entend concevoir et mettre sur le marché, dès 2019, un observatoire 
de la mobilité pour les villes de moins de 200.000 habitants. Son réseau 
de Box autonomes innovantes, positionnées sur les routes, à la périphérie 
des zones cibles, sera capable de caractériser les flux routiers grâce à la 
technologie du deep learning. L’ensemble du réseau sera couplé à une 
solution logicielle d’analyse Origine Destination (O-D) reposant sur la fusion 
de données collectées par les Box d’Alyce et les données Big Data mises à 
disposition par des opérateurs de télécommunications mobiles européens.
Cette solution, véritable outil d’aide à la décision, permettra aux élus des 
collectivités locales comme à leurs ingénieries, de cartographier, mesurer et 
comprendre les enjeux routiers de leur territoire pour agir en accord avec les 
dispositions économiques et environnementales de leur pays."
ap&bs;symphonia;numérique;58;1;PARIS (75); 670 800 €;; 2018 - 2020;"Notre entreprise est une startup technologique qui développe et 
commercialise des solutions logicielles et des applications mobiles 
innovantes destinées à optimiser la composition musicale. Notre activité 
repose ainsi essentiellement sur de la R&D dans les domaines du machine 
learning et du signal processing. ";"Le projet Symphonia ambitionne de réinventer radicalement la manière de 
composer de la musique en proposant une application mobile qui permet 
notamment grâce à des algorithmes d’intelligence artificielle de créer avec 
un simple smartphone des musiques magnifiques au rendu professionnel."
apix analytics;milan;french fab;94;1;ISÈRE (38); 2 583 401 €;; 2018 - 2020;"APIX Analytics conçoit, développe et commercialise de nouvelles générations 
d’analyseurs multigaz à base de chromatographie, en rupture avec les 
technologies conventionnelles, permettant, grâce à la miniaturisation 
permise par les micro/nanotechnologies sur silicium d’atteindre des niveaux 
inégalés de performances à CAPEX et OPEX réduits.";"Le projet MILAN vise à développer une gamme innovante d’analyseurs 
d’échantillons liquides afin d’apporter des informations plus précises et 
en temps réel sur les procédés industriels grâce à la miniaturisation et 
à l’intégration des instruments au plus près du process. Les principaux 
domaines d’application visés sont : Oil&Gaz, chimie, analyse de l’eau. Ces 
nouveaux analyseurs permettront de réduire les coûts de production, les 
rejets de polluants et les dépenses énergétiques associées. D’autre secteurs 
d’activités sont visés à plus long terme comme la mesure des polluants 
dans les eaux ou sols ouvrant ainsi de nouvelles perspectives sur le secteur 
environnemental."
